06-May,
M&Ts,Bramshaw
Calmore 2,Langley Manor
Redlynch & Hale,Totton & Eling
Paultons,Cadnam
Winterslow,Ringwood
Wellow & Plaitford 2,Hyde
==========,
13-May,
Langley Manor,M&Ts
Hyde,Winterslow
Totton & Eling,Calmore 2
Cadnam,Redlynch & Hale
Ringwood,Paultons
Bramshaw,Wellow & Plaitford 2
==========,
20-May, 
M&Ts,Totton & Eling
Bramshaw,Langley Manor
Calmore 2,Cadnam
Redlynch & Hale,Ringwood
Paultons,Hyde
Wellow & Plaitford 2,Winterslow
==========,
03-Jun,
Cadnam,M&Ts
Totton & Eling,Bramshaw
Winterslow,Paultons
Ringwood,Calmore 2
Hyde,Redlynch & Hale
Langley Manor,Wellow & Plaitford 2
==========,
10-Jun,
M&Ts,Ringwood
Bramshaw,Cadnam
Langley Manor,Totton & Eling
Calmore 2,Hyde
Redlynch & Hale,Winterslow
Wellow & Plaitford 2,Paultons
==========,
17-Jun,
Hyde,M&Ts
Ringwood,Bramshaw
Cadnam,Langley Manor
Paultons,Redlynch & Hale
Winterslow,Calmore 2
Totton & Eling,Wellow & Plaitford 2
==========,
24-Jun,
M&Ts,Winterslow
Bramshaw,Hyde
Langley Manor,Ringwood
Totton & Eling,Cadnam
Calmore 2,Paultons
Wellow & Plaitford 2,Redlynch & Hale
==========,
01-Jul,
M&Ts,Redlynch & Hale
Bramshaw,Paultons
Langley Manor,Winterslow
Totton & Eling,Hyde
Cadnam,Ringwood
Wellow & Plaitford 2,Calmore 2
==========,
08-Jul,
Calmore 2,M&Ts
Redlynch & Hale,Bramshaw
Paultons,Langley Manor
Winterslow,Totton & Eling
Hyde,Cadnam
Ringwood,Wellow & Plaitford 2
==========,
15-Jul,
Ringwood,Hyde
Bramshaw,Calmore 2
Langley Manor,Redlynch & Hale
Totton & Eling,Paultons
Cadnam,Winterslow
M&Ts,Wellow & Plaitford 2
==========,
22-Jul,
Paultons,M&Ts
Winterslow,Bramshaw
Langley Manor,Hyde
Ringwood,Totton & Eling
Redlynch & Hale,Calmore 2
Cadnam,Wellow & Plaitford 2
==========,
