06-May,
Farley,Calmore 2
Wellow & Plaitford 2,Paultons
Langley Manor,Redlynch & Hale
Bramshaw,OT's & Romsey
Ringwood,Hyde
==========,
13-May,
Paultons,Farley
Hyde,Bramshaw
Redlynch & Hale,Wellow & Plaitford 2
OT's & Romsey,Langley Manor
Calmore 2,Ringwood
==========,
20-May,
Farley,Redlynch & Hale
Calmore 2,Paultons
Wellow & Plaitford 2,OT's & Romsey
Langley Manor,Hyde
Ringwood,Bramshaw
==========,
03-Jun,
OT's & Romsey,Farley
Redlynch & Hale,Calmore 2
Bramshaw,Langley Manor
Hyde,Wellow & Plaitford 2
Paultons,Ringwood
==========,
10-Jun,
Farley,Hyde
Calmore 2,OT's & Romsey
Paultons,Redlynch & Hale
Wellow & Plaitford 2,Bramshaw
Ringwood,Langley Manor
==========,
17-Jun,
Bramshaw,Farley
Hyde,Calmore 2
OT's & Romsey,Paultons
Langley Manor,Wellow & Plaitford 2
Redlynch & Hale,Ringwood
==========,
24-Jun,
Farley,Langley Manor
Calmore 2,Bramshaw
Paultons,Hyde
Redlynch & Hale,OT's & Romsey
Ringwood,Wellow & Plaitford 2
==========,
01-Jul,
OT's & Romsey,Hyde
Calmore 2,Wellow & Plaitford 2
Paultons,Langley Manor
Redlynch & Hale,Bramshaw
Ringwood,Farley
==========,
08-Jul,
Hyde,OT's & Romsey
Wellow & Plaitford 2,Calmore 2
Langley Manor,Paultons
Bramshaw,Redlynch & Hale
Farley,Ringwood
==========,
15-Jul,
Farley,Calmore 2
Paultons,Wellow & Plaitford 2
Redlynch & Hale,Langley Manor
OT's & Romsey,Bramshaw
Hyde,Ringwood
==========,
22-Jul,
Farley,Paultons
Bramshaw,Hyde
Wellow & Plaitford 2,Redlynch & Hale
OT's & Romsey,Langley Manor
Ringwood,Calmore 2
==========,
