03-May,
Lymington 1,Beaulieu
Fawley  ,Mudeford
New Milton,OT's & Romsey 1
Bashley B,Bashely 1
Pylewell Park,Hythe & Dibden 
Sway,Lymington 2
==========,
10-May,
Mudeford,Lymington 1
Lymington 2,Pylewell Park
OT's & Romsey 1,Fawley  
Bashely 1,New Milton
Hythe & Dibden ,Bashley B
Beaulieu,Sway
==========,
17-May,
Lymington 1,OT's & Romsey 1
Beaulieu,Mudeford
Fawley  ,Bashely 1
New Milton,Hythe & Dibden 
Bashley B,Lymington 2
Sway,Pylewell Park
==========,
24-May,
Bashely 1,Lymington 1
OT's & Romsey 1,Beaulieu
Pylewell Park,Bashley B
Hythe & Dibden ,Fawley  
Lymington 2,New Milton
Mudeford,Sway
==========,
07-Jun,
Lymington 1,Hythe & Dibden 
Beaulieu,Bashely 1
Mudeford,OT's & Romsey 1
Fawley  ,Lymington 2
New Milton,Pylewell Park
Sway,Bashley B
==========,
14-Jun,
Lymington 2,Lymington 1
Hythe & Dibden ,Beaulieu
Bashely 1,Mudeford
Bashley B,New Milton
Pylewell Park,Fawley  
OT's & Romsey 1,Sway
==========,
21-Jun,
Lymington 1,Pylewell Park
Beaulieu,Lymington 2
Mudeford,Hythe & Dibden 
OT's & Romsey 1,Bashely 1
Fawley  ,Bashley B
Sway,New Milton
==========,
28-Jun,
Bashley B,Lymington 1
Pylewell Park,Beaulieu
Lymington 2,Mudeford
Hythe & Dibden ,OT's & Romsey 1
New Milton,Fawley  
Bashely 1,Sway
==========,
05-Jul,
Lymington 1,New Milton
Beaulieu,Bashley B
Mudeford,Pylewell Park
OT's & Romsey 1,Lymington 2
Bashely 1,Hythe & Dibden 
Sway,Fawley  
==========,
12-Jul,
Fawley  ,Lymington 1
New Milton,Beaulieu
Bashley B,Mudeford
Pylewell Park,OT's & Romsey 1
Lymington 2,Bashely 1
Hythe & Dibden ,Sway
==========,
19-Jul,
Hythe & Dibden ,Lymington 2
Beaulieu,Fawley  
Mudeford,New Milton
OT's & Romsey 1,Bashley B
Bashely 1,Pylewell Park
Lymington 1,Sway
==========,
26-Jul,
Beaulieu,Lymington 1
Mudeford,Fawley
OT's & Romsey 1,New Milton
Bashley B,Hythe & Dibden 
Pylewell Park,Bashely 1
Lymington 2,Sway
==========,
