03-May,
Bramshaw,Paultons
Damerham,Totton & Eling
Hythe & Dibden,New Milton 1
Bashley,Fawley
Winterslow,Sway
Redlynch & Hale,Bransgore
Langley Manor,New Milton 2
==========,
10-May,
Totton & Eling,Bramshaw
Alderholt,Langley Manor
New Milton 1,Damerham
Fawley,Hythe & Dibden
Sway,Bashley
Bransgore,Winterslow
New Milton 2,Redlynch & Hale
==========,
17-May,
Bramshaw,New Milton 1
Paultons,Totton & Eling
Damerham,Fawley
Hythe & Dibden,Sway
Bashley,Bransgore
Winterslow,New Milton 2
Redlynch & Hale,Alderholt
==========,
24-May,
Fawley,Bramshaw
New Milton 1,Paultons
Langley Manor,Redlynch & Hale
Sway,Damerham
Bransgore,Hythe & Dibden
New Milton 2,Bashley
Alderholt,Winterslow
==========,
31-May,
Damerham,Bramshaw
Hythe & Dibden,Paultons
Bashley,Totton & Eling
Winterslow,New Milton 1
Redlynch & Hale,Fawley
Langley Manor,Sway
Alderholt,Bransgore
==========,
07-Jun,
Bramshaw,Sway
Paultons,Fawley
Totton & Eling,New Milton 1
Damerham,Bransgore
Hythe & Dibden,New Milton 2
Bashley,Alderholt
Winterslow,Langley Manor
==========,
14-Jun,
Bransgore,Bramshaw
Sway,Paultons
Fawley,Totton & Eling
Langley Manor,Bashley
New Milton 2,Damerham
Alderholt,Hythe & Dibden
Redlynch & Hale,Winterslow
==========,
21-Jun,
Bramshaw,New Milton 2
Paultons,Bransgore
Totton & Eling,Sway
New Milton 1,Fawley
Damerham,Alderholt
Hythe & Dibden,Langley Manor
Bashley,Redlynch & Hale
==========,
28-Jun,
Alderholt,Bramshaw
New Milton 2,Paultons
Bransgore,Totton & Eling
Sway,New Milton 1
Winterslow,Bashley
Langley Manor,Damerham
Redlynch & Hale,Hythe & Dibden
==========,
05-Jul,
Bramshaw,Langley Manor
Paultons,Alderholt
Totton & Eling,New Milton 2
New Milton 1,Bransgore
Fawley,Sway
Damerham,Redlynch & Hale
Hythe & Dibden,Winterslow
==========,
12-Jul,
Redlynch & Hale,Bramshaw
Langley Manor,Paultons
Alderholt,Totton & Eling
New Milton 2,New Milton 1
Bransgore,Fawley
Bashley,Hythe & Dibden
Winterslow,Damerham
==========,
19-Jul,
Bramshaw,Winterslow
Paultons,Redlynch & Hale
Totton & Eling,Langley Manor
New Milton 1,Alderholt
Fawley,New Milton 2
Sway,Bransgore
Damerham,Bashley
==========,
26-Jul,
Bashley,Bramshaw
Winterslow,Paultons
Redlynch & Hale,Totton & Eling
Langley Manor,New Milton 1
Alderholt,Fawley
New Milton 2,Sway
Hythe & Dibden,Damerham
==========,
