04-May,
Wellow & Plaitford,Calmore
Totton & Eling,OT's & Romsey
Redlynch & Hale,South Wilts 
M&T's,Langley 2
Winterslow,Cadnam
==========,
11-May,
OT's & Romsey,Wellow & Plaitford
Cadnam,M&T's
South Wilts ,Totton & Eling
Langley 2,Redlynch & Hale
Calmore,Winterslow
==========,
18-May,
Wellow & Plaitford,South Wilts 
Calmore,OT's & Romsey
Totton & Eling,Langley 2
Redlynch & Hale,Cadnam
Winterslow,M&T's
==========,
25-May,
Langley 2,Wellow & Plaitford
South Wilts ,Calmore
M&T's,Redlynch & Hale
Cadnam,Totton & Eling
OT's & Romsey,Winterslow
==========,
01-Jun,
Wellow & Plaitford,Cadnam
Calmore,Langley 2
OT's & Romsey,South Wilts 
Totton & Eling,M&T's
Winterslow,Redlynch & Hale
==========,
08-Jun,
M&T's,Wellow & Plaitford
Cadnam,Calmore
Langley 2,OT's & Romsey
Redlynch & Hale,Totton & Eling
South Wilts ,Winterslow
==========,
22-Jun,
Wellow & Plaitford,Redlynch & Hale
Calmore,M&T's
OT's & Romsey,Cadnam
South Wilts ,Langley 2
Winterslow,Totton & Eling
==========,
29-Jun,
Totton & Eling,Wellow & Plaitford
Redlynch & Hale,Calmore
M&T's,OT's & Romsey
Cadnam,South Wilts 
Langley 2,Winterslow
==========,
06-Jul,
Langley 2,Cadnam
Calmore,Totton & Eling
OT's & Romsey,Redlynch & Hale
South Wilts ,M&T's
Wellow & Plaitford,Winterslow
==========,
13-Jul,
Cadnam,Langley 2
Totton & Eling,Calmore
Redlynch & Hale,OT's & Romsey
M&T's,South Wilts 
Winterslow,Wellow & Plaitford
==========,
20-Jul,
Calmore,Wellow & Plaitford
OT's & Romsey,Totton & Eling
South Wilts ,Redlynch & Hale
Langley 2,M&T's
Cadnam,Winterslow
==========,
