04-May,
Langley Manor 1,Lymington 1
Hythe & Dibden,Fawley
Lymington 2,New Milton
Pylewell Park,Bashley
==========,
11-May,
Fawley,Langley Manor 1
Bashley,Lymington 2
New Milton,Hythe & Dibden
Lymington 1,Pylewell Park
==========,
18-May,
Langley Manor 1,New Milton
Lymington 1,Fawley
Hythe & Dibden,Bashley
Pylewell Park,Lymington 2
==========,
25-May,
Bashley,Langley Manor 1
New Milton,Lymington 1
Lymington 2,Hythe & Dibden
Fawley,Pylewell Park
==========,
01-Jun,
Langley Manor 1,Lymington 2
Lymington 1,Bashley
Fawley,New Milton
Pylewell Park,Hythe & Dibden
==========,
08-Jun,
Hythe & Dibden,Langley Manor 1
Lymington 2,Lymington 1
Bashley,Fawley
New Milton,Pylewell Park
==========,
22-Jun,
New Milton,Bashley
Lymington 1,Hythe & Dibden
Fawley,Lymington 2
Langley Manor 1,Pylewell Park
==========,
29-Jun,
Bashley,New Milton
Hythe & Dibden,Lymington 1
Lymington 2,Fawley
Pylewell Park,Langley Manor 1
==========,
06-Jul,
Lymington 1,Langley Manor 1
Fawley,Hythe & Dibden
New Milton,Lymington 2
Bashley,Pylewell Park
==========,
13-Jul,
Langley Manor 1,Fawley
Lymington 2,Bashley
Hythe & Dibden,New Milton
Pylewell Park,Lymington 1
==========,
20-Jul,
New Milton,Langley Manor 1
Fawley,Lymington 1
Bashley,Hythe & Dibden
Lymington 2,Pylewell Park
==========,
