05-May,,
Eversley,Wokingham,
Hartley Hornets,Reading,
Langley Manor,Portsmouth Community,
==========,,
12-May,,
Odiham,Langley Manor,
Portsmouth Community,Hartley Hornets,
Reading,Eversley,
==========,,
19-May,,
Eversley,Portsmouth Community,
Hartley Hornets,Odiham,
Wokingham,Reading,
==========,,
26-May,,
Langley Manor,Hartley Hornets,
Odiham,Eversley,
Portsmouth Community,Wokingham,
==========,,
02-Jun,,
Eversley,Langley Manor,
Reading,Portsmouth Community,
Wokingham,Odiham,
==========,,
09-Jun,,
Hartley Hornets,Eversley,
Langley Manor,Wokingham,
Odiham,Reading,
==========,,
16-Jun,,
Odiham,,
Langley Manor,,
Hartley Hornets,,
==========,,
23-Jun,,
Langley Manor,,
Hartley Hornets,,
Eversley,,
==========,,
30-Jun,,
Eversley,Reading,
Hartley Hornets,Portsmouth Community,
Langley Manor,Odiham,
==========,,
07-Jul,,
Odiham,Hartley Hornets,
Portsmouth Community,Eversley,
Reading,Wokingham,
==========,,
14-Jul,,
Eversley,Odiham,
Hartley Hornets,Langley Manor,
Wokingham,Portsmouth Community,
==========,,
21-Jul,,
Langley Manor,Eversley,
Odiham,Wokingham,
Portsmouth Community,Reading,
==========,,
28-Jul,,
Eversley,Hartley Hornets,
Reading,Odiham,
Wokingham,Langley Manor,
==========,,
04-Aug,,
Hartley Hornets,Wokingham,
Langley Manor,Reading,
Odiham,Portsmouth Community,
==========,,
